ID	words	gloss	light_type	rotation	color	num_train_images
1	point, rotation at (4.0252, -5.1532, 3.4884), color is (1.0, 1.0, 0.92, 1.0)	A ivory color point light	POINT	(4.0252, -5.1532, 3.4884)	(1.0, 1.0, 0.92, 1.0)	1
2	sun, rotation at (4.0252, -5.1532, 3.4884), color is (1.0, 1.0, 0.92, 1.0)	A ivory color sun light	SUN	(4.0252, -5.1532, 3.4884)	(1.0, 1.0, 0.92, 1.0)	1
3	spot, rotation at (4.0252, -5.1532, 3.4884), color is (1.0, 1.0, 0.92, 1.0)	A ivory color spot light	SPOT	(4.0252, -5.1532, 3.4884)	(1.0, 1.0, 0.92, 1.0)	1
4	area, rotation at (4.0252, -5.1532, 3.4884), color is (1.0, 1.0, 0.92, 1.0)	A ivory color area light	AREA	(4.0252, -5.1532, 3.4884)	(1.0, 1.0, 0.92, 1.0)	1
5	point, rotation at (4.0252, -5.1532, 3.4884), color is (0.74, 0.39, 1.0, 1.0)	A mediumorchid color point light	POINT	(4.0252, -5.1532, 3.4884)	(0.74, 0.39, 1.0, 1.0)	1
6	sun, rotation at (4.0252, -5.1532, 3.4884), color is (0.74, 0.39, 1.0, 1.0)	A mediumorchid color sun light	SUN	(4.0252, -5.1532, 3.4884)	(0.74, 0.39, 1.0, 1.0)	1
7	spot, rotation at (4.0252, -5.1532, 3.4884), color is (0.74, 0.39, 1.0, 1.0)	A mediumorchid color spot light	SPOT	(4.0252, -5.1532, 3.4884)	(0.74, 0.39, 1.0, 1.0)	1
8	area, rotation at (4.0252, -5.1532, 3.4884), color is (0.74, 0.39, 1.0, 1.0)	A mediumorchid color area light	AREA	(4.0252, -5.1532, 3.4884)	(0.74, 0.39, 1.0, 1.0)	1
9	point, rotation at (4.0252, -5.1532, 3.4884), color is (0.99, 1.0, 0.86, 1.0)	A lightyellow color point light	POINT	(4.0252, -5.1532, 3.4884)	(0.99, 1.0, 0.86, 1.0)	1
10	sun, rotation at (4.0252, -5.1532, 3.4884), color is (0.99, 1.0, 0.86, 1.0)	A lightyellow color sun light	SUN	(4.0252, -5.1532, 3.4884)	(0.99, 1.0, 0.86, 1.0)	1
11	spot, rotation at (4.0252, -5.1532, 3.4884), color is (0.99, 1.0, 0.86, 1.0)	A lightyellow color spot light	SPOT	(4.0252, -5.1532, 3.4884)	(0.99, 1.0, 0.86, 1.0)	1
12	area, rotation at (4.0252, -5.1532, 3.4884), color is (0.99, 1.0, 0.86, 1.0)	A lightyellow color area light	AREA	(4.0252, -5.1532, 3.4884)	(0.99, 1.0, 0.86, 1.0)	1
13	point, rotation at (4.0252, -5.1532, 3.4884), color is (1.0, 0.9, 1.0, 1.0)	A lavenderblush color point light	POINT	(4.0252, -5.1532, 3.4884)	(1.0, 0.9, 1.0, 1.0)	1
14	sun, rotation at (4.0252, -5.1532, 3.4884), color is (1.0, 0.9, 1.0, 1.0)	A lavenderblush color sun light	SUN	(4.0252, -5.1532, 3.4884)	(1.0, 0.9, 1.0, 1.0)	1
15	spot, rotation at (4.0252, -5.1532, 3.4884), color is (1.0, 0.9, 1.0, 1.0)	A lavenderblush color spot light	SPOT	(4.0252, -5.1532, 3.4884)	(1.0, 0.9, 1.0, 1.0)	1
16	area, rotation at (4.0252, -5.1532, 3.4884), color is (1.0, 0.9, 1.0, 1.0)	A lavenderblush color area light	AREA	(4.0252, -5.1532, 3.4884)	(1.0, 0.9, 1.0, 1.0)	1
17	point, rotation at (4.0252, -5.1532, 3.4884), color is (1.0, 0.69, 1.0, 1.0)	A plum color point light	POINT	(4.0252, -5.1532, 3.4884)	(1.0, 0.69, 1.0, 1.0)	1
18	sun, rotation at (4.0252, -5.1532, 3.4884), color is (1.0, 0.69, 1.0, 1.0)	A plum color sun light	SUN	(4.0252, -5.1532, 3.4884)	(1.0, 0.69, 1.0, 1.0)	1
19	spot, rotation at (4.0252, -5.1532, 3.4884), color is (1.0, 0.69, 1.0, 1.0)	A plum color spot light	SPOT	(4.0252, -5.1532, 3.4884)	(1.0, 0.69, 1.0, 1.0)	1
20	area, rotation at (4.0252, -5.1532, 3.4884), color is (1.0, 0.69, 1.0, 1.0)	A plum color area light	AREA	(4.0252, -5.1532, 3.4884)	(1.0, 0.69, 1.0, 1.0)	1
